Region,Council,Swim site,Date,Time,Water temperature (°C),Latitude,Longitude
Sydney City,Waverley Council,Bronte Beach,22/08/2024,08:07:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Rockpool,16/08/2024,09:31:00,17,-33.953515000,151.258009000
Sydney City,Waverley Council,Tamarama Beach,16/08/2024,08:26:00,16,-33.900805000,151.270734000
Sydney City,Randwick City Council,Coogee Beach,16/08/2024,09:10:00,17,-33.920760000,151.258170000
Sydney City,Randwick City Council,Maroubra Beach,16/08/2024,09:26:00,17,-33.948896000,151.257459000
Sydney City,Randwick City Council,Malabar Beach,16/08/2024,10:09:00,17,-33.964360000,151.252247000
Sydney City,Waverley Council,Bondi Beach,16/08/2024,08:14:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,Clovelly Beach,16/08/2024,08:49:00,16,-33.914578000,151.267659000
Sydney City,Randwick City Council,South Maroubra Beach,16/08/2024,09:40:00,17,-33.951378000,151.257322000
Sydney City,Waverley Council,Bronte Beach,16/08/2024,08:37:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,Little Bay Beach,16/08/2024,10:25:00,17,-33.979882000,151.251417000
Sydney City,Randwick City Council,Little Bay Beach,12/08/2024,09:34:00,15,-33.979882000,151.251417000
Sydney City,Randwick City Council,South Maroubra Rockpool,12/08/2024,09:03:00,15,-33.953515000,151.258009000
Sydney City,Randwick City Council,Coogee Beach,12/08/2024,08:27:00,15,-33.920760000,151.258170000
Sydney City,Waverley Council,Tamarama Beach,12/08/2024,07:37:00,15,-33.900805000,151.270734000
Sydney City,Randwick City Council,Gordons Bay (East),12/08/2024,08:16:00,16,-33.915646000,151.264558000
Sydney City,Randwick City Council,Clovelly Beach,12/08/2024,08:07:00,15,-33.914578000,151.267659000
Sydney City,Waverley Council,Bronte Beach,12/08/2024,07:51:00,16,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Beach,12/08/2024,09:00:00,16,-33.951378000,151.257322000
Sydney City,Randwick City Council,Maroubra Beach,12/08/2024,08:45:00,15,-33.948896000,151.257459000
Sydney City,Waverley Council,Bondi Beach,12/08/2024,07:21:00,16,-33.891157000,151.278267000
Sydney City,Randwick City Council,Malabar Beach,12/08/2024,09:22:00,15,-33.964360000,151.252247000
Sydney City,Randwick City Council,Malabar Beach,06/08/2024,09:56:00,15,-33.964360000,151.252247000
Sydney City,Randwick City Council,Maroubra Beach,06/08/2024,09:26:00,15,-33.948896000,151.257459000
Sydney City,Randwick City Council,Clovelly Beach,06/08/2024,08:44:00,15,-33.914578000,151.267659000
Sydney City,Waverley Council,Bronte Beach,06/08/2024,08:28:00,15,-33.903087000,151.268790000
Sydney City,Randwick City Council,South Maroubra Beach,06/08/2024,09:35:00,15,-33.951378000,151.257322000
